source,target
2535,108081
2535,1220781
2535,115002
2535,7447
3085,1158
3085,7447
3085,9560
3085,5682
3085,44556
3085,20234
3085,1487
3085,111714
3085,165867
3085,3092
1507609,1507612
1507609,1507613
514,7071
514,518
514,10409
514,10410
514,6193
514,1892
514,3391
514,117075
514,34947
514,1262612
514,21200
514,1487
514,7487
514,1428
1507613,1507612
11511,6861
3266,5376
3266,5937
3266,26009
3266,1067583
3266,36059
3266,10427
3266,781
3266,33
3266,5149
3266,2710
3266,4587
3266,8691
3266,2144
3266,141
3266,2505
1122374,1122375
1122374,3897137
1122374,9290
21010,76184
21010,75781
21010,101032
21010,39770
21010,34721
21010,83908
21010,1748
21010,8499
21010,16896
21010,8857
21010,15395
24810,41250
24810,33716
2098136,2098138
1776,2559324
1776,2559325
1776,27888
1776,2630
1776,958722
1776,41381
1776,38803
1776,64
1776,151007
1776,1
1776,7879
1776,2130
1776,1032
1776,1150
1776,1666
1776,2226
1776,1006721
1776,11483
1776,3084
1776,3087
1776,8349
111513,57194
111513,205179
111513,1224841
111513,539
111513,1842039
111513,71403
111513,129193
111513,1434813
111513,2936237
111513,2790024
111513,3223
111513,16828
111513,103
2166741,1397846
4430,82315
4430,11492
4430,1916574
4430,5168
4430,6449
4430,516
4430,380
4430,4517
4430,2682390
4430,2227
4430,71531
4430,1383964
4430,1867979
4430,11770
4430,515
4430,349
4430,8293
4430,32017
4430,3753843
4430,5682
4430,44556
4430,20234
4430,15762
4430,1160
4430,1813
8654,2059
8654,7132
8654,104053
8654,1357571
8654,1357572
8654,1357573
8654,21278
8654,13724
8654,7447
4483,13570
4483,3417
4483,3237245
4483,2320382
4483,863
4483,39015
4483,73931
4483,142439
4483,7447
4483,9560
4483,3085
4483,1206
4483,70851
4483,56159
4483,21278
4483,13724
4483,214317
4483,13716
4483,117180
4483,9979
4483,9789
4483,6449
4483,707
4483,11850
4483,9274
4483,19803
4483,1084298
4483,100140
4483,1298360
4483,1935918
4483,1583355
4483,1289968
4483,1718961
4483,2762565
2301996,2954
2301996,33663
2301996,2189100
2301996,1671675
2301996,1644623
2301996,1647876
2301996,3252749
2301996,3370866
1066777,65013
89819,15831
89819,1254526
89819,17051
89819,1518619
89819,7796
89819,851784
89819,2130
89819,16431
89819,2203
89819,13922
89819,188238
89819,52139
109686,2089925
109686,1562353
109686,1232383
532,529
532,6384
532,2975
532,7187
532,57371
532,3034
36059,42206
36059,10167
36059,1226195
36059,13637
2662887,1931175
1158,1159
1158,1160
1158,3092
6349,8483
6349,8482
62047,62048
62047,12824
2954,33663
2954,25072
2954,3910
2954,1241
2320880,128550
449538,13309
449538,1661465
449538,87525
449538,7056
449538,154782
449538,154783
449538,174875
18897,1619
18897,1338
18897,19429
18897,1341
18897,15111
18897,51576
18897,10814
18897,62410
18897,11163
18897,1768642
18897,2304833
18897,3250943
18897,32673
18897,116353
18897,26756
18897,2103203
18897,131168
18897,2344656
18897,2921077
18897,2921078
31,32
31,33
31,52
31,5149
31,3197
31,12833
31,572541
31,1457107
31,107602
31,107605
31,4784
31,516
31,35219
31,7879
31,9261
31,488
31,2689
31,325
31,70851
31,134
31,707
31,26485
31,54812
31,1206
31,56159
31,18688
31,8437
31,589
31,2585
31,100183
31,13745
31,1298360
31,1935918
31,1583355
529,46300
529,27889
529,1331
529,326
529,323
529,11099
1892,2157
1892,880
1892,21007
1892,107379
1892,3894
1892,19498
1892,6193
1892,31
1892,3197
1892,12833
1892,10297
1892,1813
1892,83002
1892,1810
1892,3361135
1892,1812
9979,56890
9979,46393
9979,9789
9979,6449
9979,1353815
9979,1353816
9979,20212
9979,41249
9979,1841281
9979,1225302
9979,3546502
9979,118764
9979,36281
9979,3199207
9979,3199208
9979,21818
9979,12967
9979,13567
9979,25834
9979,1204293
9979,2027993
9979,1189209
9979,2993220
9979,928944
9979,2022250
9979,20959
9979,57829
9979,7447
9979,9560
9979,3085
9979,1066777
9979,65013
9979,4808
9979,1
9979,1776
9979,7879
9979,2045089
9979,4687
9979,2045090
1583355,1298360
1583355,1935918
1583355,1538806
1583355,1583356
6717,103835
6717,6474
6717,69122
6717,65344
6717,6677
6717,6678
6717,6714
89289,117418
89289,1188876
89289,2787630
89289,52057
89289,110380
89289,181934
89289,496175
89289,1122373
89289,1122374
89289,1122375
89289,1280183
89289,1006651
89289,61399
89289,1232728
89289,1723195
2395,1735828
2395,53397
2395,36811
2395,1870421
2395,2412016
2395,186529
2395,88059
2395,15411
2395,1430
2395,1428
2395,53396
2395,8534
2395,1121
2395,3392
2395,17051
2395,59315
2395,2838
2395,4756
2395,15152
2395,16940
2395,9309
2395,57551
2395,5726
2395,155488
2395,292445
2395,21986
2395,2387
2395,2388
2395,1213786
2395,16418
2395,148120
2395,83170
2395,2774840
2395,1179651
2395,216674
2395,73641
2395,1202593
2395,33684
2395,515
2395,1650331
2395,350
2395,172069
2395,1215522
2395,1896
2395,6240
2395,21411
2395,206637
2395,120608
2395,1596910
2395,24045
2022250,928944
1298360,1643996
1298360,1935918
1298360,131519
1298360,1305687
1298360,1338269
1298360,115679
1298360,1405836
1298360,6859
3417,35
3417,21399
3417,13570
3417,21278
3417,13724
3417,7447
65013,1487
65013,3274157
65013,1490
70243,15973
70243,16108
70243,70261
70243,7173
70243,1610820
70243,1610824
70243,30610
70243,2750
70243,37469
70243,1211997
70243,15762
70243,1160
70243,1813
70243,44810
70243,4785
70243,6929
70243,68929
70243,1096822
70243,938558
70243,27011
70243,8851
70243,543105
12311,4078
12311,99846
12311,44797
12311,31844
12311,22600
12311,53010
68381,68402
68381,5049
8483,8482
7796,851784
7796,11665
7796,2171
7796,10297
7796,15864
7796,176557
7796,19453
7796,17696
7796,81316
7796,10767
7796,1366083
7796,566154
7796,1141310
7796,75464
7796,11477
7796,380
7796,4517
104053,64825
104053,175981
104053,21246
104053,94814
104053,16476
516,3063345
516,1230063
516,1979
516,2155
516,6449
516,4784
5606,5632
5606,54693
5606,19492
5606,6944
5606,1666
5606,2226
5606,1776
932719,12132
932719,2130
932719,1238314
932719,204415
146687,19011
146687,74266
146687,1442410
146687,1442411
146687,1225259
146687,174981
146687,1094687
146687,3492377
146687,3492379
146687,3492380
146687,1306064
